"filename", "language", "C#", "comment", "blank", "total"
"c:\Users\Joe\Anamnesis\Assets\scripts\Entity\Enemy\BossBarUI.cs", "C#", -1, 0, 0, -1
"c:\Users\Joe\Anamnesis\Assets\scripts\Entity\EntityStatManager.cs", "C#", -46, 0, -2, -48
"c:\Users\Joe\Anamnesis\Assets\scripts\Entity\EntityStats.cs", "C#", 22, 0, 0, 22
"c:\Users\Joe\Anamnesis\Assets\scripts\Entity\Player\PlayerAttackHandler.cs", "C#", 14, 0, 0, 14
"c:\Users\Joe\Anamnesis\Assets\scripts\Entity\Player\PlayerMana.cs", "C#", 6, 0, 0, 6
"c:\Users\Joe\Anamnesis\Assets\scripts\Entity\Player\PlayerStamina.cs", "C#", 3, 0, 1, 4
"c:\Users\Joe\Anamnesis\Assets\scripts\Entity\Player\TooltipTrigger.cs", "C#", 7, 0, 2, 9
"c:\Users\Joe\Anamnesis\Assets\scripts\Entity\StatBuff.cs", "C#", 82, 0, 6, 88
"c:\Users\Joe\Anamnesis\Assets\scripts\Projectile\DamageInstance.cs", "C#", 18, 0, 3, 21
"c:\Users\Joe\Anamnesis\Assets\scripts\Projectile\DamagePacket.cs", "C#", -17, 0, -3, -20
"c:\Users\Joe\Anamnesis\Assets\scripts\StatusEffect\StatusEffect.cs", "C#", 1, 0, 0, 1
"c:\Users\Joe\Anamnesis\Assets\scripts\StatusEffect\StatusEffectManager.cs", "C#", 9, 0, 3, 12
"Total", "-", 98, 0, 10, 108
