"filename", "language", "C#", "comment", "blank", "total"
"c:\Users\Joe\Anamnesis\Assets\scripts\DamageIndicator\DamageIndicatorSpawner.cs", "C#", 11, 0, 0, 11
"c:\Users\Joe\Anamnesis\Assets\scripts\Entity\Enemy\EnemyAttackHandler.cs", "C#", 1, 0, 1, 2
"c:\Users\Joe\Anamnesis\Assets\scripts\Entity\Enemy\EnemyMovement.cs", "C#", -5, 0, 0, -5
"c:\Users\Joe\Anamnesis\Assets\scripts\Entity\EntityHealth.cs", "C#", 15, 0, 3, 18
"c:\Users\Joe\Anamnesis\Assets\scripts\Entity\EntityStatManager.cs", "C#", 4, 0, 0, 4
"c:\Users\Joe\Anamnesis\Assets\scripts\Entity\EntityStats.cs", "C#", 4, 0, 0, 4
"c:\Users\Joe\Anamnesis\Assets\scripts\Entity\EntitySummonHandler.cs", "C#", -9, 0, 0, -9
"c:\Users\Joe\Anamnesis\Assets\scripts\Entity\Player\PlayerAttackHandler.cs", "C#", 28, 0, 6, 34
"c:\Users\Joe\Anamnesis\Assets\scripts\Entity\Player\PlayerUpgrade.cs", "C#", 4, 0, 0, 4
"c:\Users\Joe\Anamnesis\Assets\scripts\Entity\Player\PlayerUpgradeManager.cs", "C#", 26, 0, 3, 29
"c:\Users\Joe\Anamnesis\Assets\scripts\Entity\Player\PlayerUpgrades\AdditionalDamage.cs", "C#", 25, 0, 7, 32
"c:\Users\Joe\Anamnesis\Assets\scripts\Entity\Player\PlayerUpgrades\HexCast.cs", "C#", -3, 0, 0, -3
"c:\Users\Joe\Anamnesis\Assets\scripts\Entity\Player\PlayerUpgrades\Paradox.cs", "C#", -3, 0, 0, -3
"c:\Users\Joe\Anamnesis\Assets\scripts\Projectile\AttackData.cs", "C#", 32, 0, 5, 37
"c:\Users\Joe\Anamnesis\Assets\scripts\Projectile\DamageCalculator.cs", "C#", 5, 0, 0, 5
"c:\Users\Joe\Anamnesis\Assets\scripts\Projectile\DamagePacket.cs", "C#", 2, 0, 0, 2
"c:\Users\Joe\Anamnesis\Assets\scripts\Projectile\Projectile.cs", "C#", 13, 0, 5, 18
"c:\Users\Joe\Anamnesis\Assets\scripts\Projectile\ProjectileData.cs", "C#", 1, 0, 0, 1
"c:\Users\Joe\Anamnesis\Assets\scripts\SkillTree\SkillTreeManager.cs", "C#", -1, 0, -1, -2
"c:\Users\Joe\Anamnesis\Assets\scripts\StatusEffect\StatusEffectManager.cs", "C#", 14, 0, 0, 14
"c:\Users\Joe\Anamnesis\Assets\scripts\StatusEffect\StatusEffects\AttackReplacement\AttackReplacement.cs", "C#", 33, 0, 9, 42
"c:\Users\Joe\Anamnesis\Assets\scripts\StatusEffect\StatusEffects\StatBuff\StatBuffs.cs", "C#", 34, 0, 3, 37
"c:\Users\Joe\Anamnesis\Assets\scripts\Wave\WaveManager.cs", "C#", 1, 0, 0, 1
"Total", "-", 232, 0, 41, 273
